what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270106537453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106539343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106540843
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106547531
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106551265
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106562703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270106566046
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106567234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270106573328
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106575781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106576859
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106578078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106584046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106585062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270106586984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270106587125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106589015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106590015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106598843
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106599203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270106606593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270106606828
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270106607000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106617281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106617671
