what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788462522
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788463288
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788475209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788476006
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269788477631
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788479506
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788480256
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269788480631
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788480913
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788481725
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788493850
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788494631
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269788495006
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788495272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788495991
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788506538
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788507319
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269788507756
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788508038
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788508788
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788660491
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788661397
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269788661788
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788662069
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269788662803
