what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1270062333328
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062334718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062334921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062336687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062336906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062338531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062341578
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1270062341593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062343125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062343250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062346281
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062351390
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1270062351406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062352906
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062353093
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062363781
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062364546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062374562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062376062
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1270062376078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062376640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270062378859
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1270062392203
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1270062394718
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1270062394750
