what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077505734
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077506781
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077517015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077518140
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077523140
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077546062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077548171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077549156
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077555562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077557343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077558171
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077565468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077570250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077571031
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077585187
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077597875
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1270077601078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077603109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077604296
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077606703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077632218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077635125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077640359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077644593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077648000
