what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063809046
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064677250
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064677968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064680390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064688265
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1270064688312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064690671
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064690828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064693953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064694156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064699890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064701265
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1270064701281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064701875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064704078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064712937
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064717796
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.properties",1270064717828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064721031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064721234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064723640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064725031
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1270064725031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064725609
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270064727718
