what,kind,bundleId,bundleVersion,description,time
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269786928944
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786929209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786929819
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786947350
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269786950100
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1269786979928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786991741
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786992506
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1269787019506
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787021241
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787022069
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787037209
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787038006
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269787038631
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787038928
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787039522
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787122803
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787123600
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269787124350
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787124616
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787125303
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787132366
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787133116
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269787133850
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269787134163
