what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076469656
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076487125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076487578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076501234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076501468
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270076504171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076517593
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076518531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076552125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076576890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076593109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076594046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270076609015
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270076609421
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270076609562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270076609734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270076610375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076612703
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076613500
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076616203
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076617562
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1270076617578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076618125
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270076619046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1270076663015
