what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269785421459
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269785424194
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1269785428428
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785430709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785431006
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1269785450959
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785454725
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785456928
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785457147
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785481538
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785481663
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1269785482444
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269785485741
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1269785486381
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785488928
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785491631
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785491913
executed,command,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1269785499850
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1269785500694
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785505038
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785505288
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785510819
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785511600
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1269785514819
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1269785516209
