what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1270074722031
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1270074766218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1270074784906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074786109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074787140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074791406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074833328
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270074840921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270074847406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270074851796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074854250
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074867359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270074871953
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270074873109
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1270074876609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074879390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074879843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074890656
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074891859
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074899843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270074901390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074908296
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270074927906
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1270074946437
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270074946640
