what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077780515
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077785859
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077786203
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077789046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077789406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1270077797171
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1270077799718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1270077801359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077804406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077804671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077823171
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077826937
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077828625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077830312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077840265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077840625
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1270077850250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077854140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077854421
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077858859
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077862734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077863843
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077866812
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077867093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077897609
