what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1270077357859
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077360468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077361296
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077371234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077372156
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077376593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077381890
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077383718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077384609
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077387625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077387968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077389046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1270077389234
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077397234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077398187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077400125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077402000
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270077404015
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077407640
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270077408500
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077414468
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077415656
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077421109
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270077427343
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270077428390
