what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1269785870100
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785897819
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785898694
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269785899100
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785899397
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785899991
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785962928
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785964553
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785965272
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269785966038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785968288
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785969053
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1269785969491
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785969788
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269785970459
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786151272
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1269786151538
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786194444
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786194569
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786194709
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786194928
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786195272
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786195788
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786195928
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1269786196084
