what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1270106620796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1270106621328
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1270106621734
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1270106622218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106623796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106624812
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1270106628093
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1270106630000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106630343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106631140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106638312
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106638812
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106643828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106651078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106651734
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106661718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106665078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106665140
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270106669765
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106671015
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106672203
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1270106673218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106673500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270106674234
executed,command,de.innot.avreclipse.core,2.3.1.20081204PRD,"de.innot.avreclipse.commands.uploadproject",1270106685796
