what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063706265
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1270063706953
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270063709078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063710609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063712890
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063713578
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1270063714937
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270063717140
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063718421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063720265
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063721015
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1270063721500
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1270063729093
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063732718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063735531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063736562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063740359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063742515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063743234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063745281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063746828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270063747578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1270063752156
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063753625
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1270063755500
